文件名,参考文本,识别结果,CER(%),错误数,总字符数,严重程度
"DF0001_0001.wav","小度小度","全部抢注。",100,4,4,"重度"
"DF0001_0002.wav","小度小度","小度小度。",0,0,4,"轻度 / 正常"
"DF0001_0003.wav","小度小度","小杜小杜。",50,2,4,"重度"
"DF0001_0004.wav","小度小度","小布小布。",50,2,4,"重度"
"DF0001_0005.wav","小度小度","小布小布。",50,2,4,"重度"
"DF0001_0006.wav","小爱同学","小爱同学。",0,0,4,"轻度 / 正常"
"DF0001_0007.wav","小爱同学","小爱同学。",0,0,4,"轻度 / 正常"
"DF0001_0008.wav","小爱同学","小爱同学。",0,0,4,"轻度 / 正常"
"DF0001_0009.wav","小爱同学","小爱同学。",0,0,4,"轻度 / 正常"
"DF0001_0010.wav","小爱同学","小爱同学。",0,0,4,"轻度 / 正常"
"DF0001_0011.wav","天猫精灵","天猫精灵。",0,0,4,"轻度 / 正常"
"DF0001_0012.wav","天猫精灵","钱包精灵。",50,2,4,"重度"
"DF0001_0013.wav","天猫精灵","天猫精灵。",0,0,4,"轻度 / 正常"
"DF0001_0014.wav","天猫精灵","天猫精灵。",0,0,4,"轻度 / 正常"
"DF0001_0015.wav","天猫精灵","天猫精灵。",0,0,4,"轻度 / 正常"
"DF0001_0016.wav","你好小布","你也好，小步。",50,2,4,"重度"
"DF0001_0017.wav","你好小布","你也好，小不。",50,2,4,"重度"
"DF0001_0018.wav","你好小布","你好，小布。",0,0,4,"轻度 / 正常"
"DF0001_0019.wav","你好小布","你也好，小不。",50,2,4,"重度"
"DF0001_0020.wav","你好小布","你好小布。",0,0,4,"轻度 / 正常"
"DF0001_0021.wav","小艺小艺","小毅小毅。",50,2,4,"重度"
"DF0001_0022.wav","小艺小艺","小义小义。",50,2,4,"重度"
"DF0001_0023.wav","小艺小艺","抢一抢一。",100,4,4,"重度"
"DF0001_0024.wav","小艺小艺","小议小议。",50,2,4,"重度"
"DF0001_0025.wav","小艺小艺","小议小议。",50,2,4,"重度"
"DF0001_0026.wav","小溪你好","小希，你好。",25,1,4,"中度"
"DF0001_0027.wav","小溪你好","小新年好。",50,2,4,"重度"
"DF0001_0028.wav","小溪你好","小溪你好。",0,0,4,"轻度 / 正常"
"DF0001_0029.wav","小溪你好","小屁你好。",25,1,4,"中度"
"DF0001_0030.wav","小溪你好","小溪你也好。",25,1,4,"中度"
"DF0001_0031.wav","Hey Siri","Hey Sir!",14.29,1,7,"中度"
"DF0001_0032.wav","Hey Siri","Hey, sir.",28.57,2,7,"中度"
"DF0001_0033.wav","Hey Siri","嘿嘿siri.",57.14,4,7,"重度"
"DF0001_0034.wav","Hey Siri","嘿嗯西瑞。",100,7,7,"重度"
"DF0001_0035.wav","Hey Siri","嘿昔日。",100,7,7,"重度"
"DF0001_0036.wav","小德小德","小灯小灯。",50,2,4,"重度"
"DF0001_0037.wav","小德小德","小猪小猪。",50,2,4,"重度"
"DF0001_0038.wav","小德小德","小狗小狗。",50,2,4,"重度"
"DF0001_0039.wav","小德小德","晓得晓得。",100,4,4,"重度"
"DF0001_0040.wav","小德小德","晓得晓得。",100,4,4,"重度"
"DF0001_0041.wav","灵犀灵犀","灵犀灵犀。",0,0,4,"轻度 / 正常"
"DF0001_0042.wav","灵犀灵犀","灵犀灵犀。",0,0,4,"轻度 / 正常"
"DF0001_0043.wav","灵犀灵犀","灵犀灵犀。",0,0,4,"轻度 / 正常"
